Sub Category,Price,Title,Product Description,Brand,Tags
Paper & Plastic Products,$18.49 ,"Kleenex Trusted Care Facial Tissue, 2-ply, 230-count, 10-pack","Kleenex brand facial tissue",Kleenex,Bathroom
Paper & Plastic Products,$22.99 ,"Kirkland Signature Paper Towels, 2-Ply, 160 Sheets, 12 Individually Wrapped Rolls","â€‹Two strong, thick and absorbent layers
Create-a-Size: half or whole sheets
â€‹Sustainable Forestry Initiative certified",Kirkland Signature,"Kitchen, Cleaning supplies"
Paper & Plastic Products,$31.99 ,"Cottonelle Ultra Clean Bath Tissue, 1-Ply, 312 Sheets, 36 Rolls","Cottonelle bath tissue",Cottonelle,Bathroom
Snacks,$13.19 ,"Knott's Bite Size Cookies, Strawberry Shortbread, 2 oz, 36-count",Premium Bite-Size Cookies,Knott's,"Desserts, Snacks"
Snacks,$13.99 ,"Milano Cookies, Double Dark Chocolate, 0.98 oz, 30-count","Sandwich Cookies
The perfect balance of crisp cookies and rich, luxurious chocolate for a truly indulgent treat
2X the chocolate as Classic Dark Chocolate Milano
Net Weight 29.4 oz",Milano,"Desserts, Snacks"
Snacks,$16.99 ,"Popchips Potato Chips, Variety Pack, 0.8 oz, 30-count","0.8 oz bag
30 - count
Popchips
Variety pack: 12-Sea Salt, 12-Barbeque, 6-Sour Cream & Onion
No synthetic colors
No cholesterol
0 grams trans fat",Popchips,"Chips, snacks"
Snacks,$16.99 ,"Kellogg's Rice Krispies Treats, Variety Pack, 60-count","Variety Pack: 20- Chocolate, 20-Rainbow, 20- Chocolately Drizzle",Kellogg,"Desserts, Snacks"
Snacks,$10.99 ,"Honey Maid Graham Crackers 14.4 oz, 4-count",No High Fructose Corn Syrup,Honey Maid,"Desserts, Snacks"
Deli,$199.99 ,"Plaza Osetra Farmed Bulgarian Sturgeon Caviar 2 oz, 3-pack","Plaza Osetra is our top grade of Caviar. This Osetra ranges in color from phantom black to dark brown; medium to large in grain size and has the unique nutty finish distinct to this Osetra Caviar. This Black Sea Caviar farm has features unmatched; we believe when you try it you will know why we picked this as our top choice. Rest assured it will compare with the best wild Caviars on the market, not to mention it will be fresher, healthier and fully sustainable.   Farmed Bulgarian Osetra Sturgeon Caviar
2 oz vacuum sealed jars
3-pack
6 oz total net weight
Superior quality Malossol Caviar, sustainable farmed resource
This Caviar is Borax free, Non Pasteurized, Salt Cure only, Texture and Pop may vary per harvest from mild to medium   Features Eco-Friendly non Styrofoam packaging   Serves 2-4 people per jar   Questions? Feel free to call Plaza De CAVIAR's friendly customer service for product information only at: 1-888-888-4470. Please call Costco.com customer service for all other inquiries.",Plaza Osetra,Seafood
Deli,$89.99 ,"Giordano's Chicago Frozen 10"" Deep Dish Stuffed Pizza, 3-pack","Giordanoâ€™s - World Famous Pizza from Chicago, Since 1974! Giordanoâ€™s World Famous Pizza is one of the very few pizza companies that can be credited with pioneering Chicagoâ€™s international reputation for Chicago-style deep dish pizza. Did you know â€“ a Giordanoâ€™s pizza isn't just DEEP. It's also STUFFED with goodness! Giordanoâ€™s pizzas are handcrafted â€“ Artisans tenderly layer quality ingredients, starting with the best cheese in the world, in a carefully constructed double- crusted Pizza Pie. Every Giordanoâ€™s pizza starts with the very best ingredients, including: Wisconsin Mozzarella Cheese that is specially crafted for Giordanoâ€™s by skilled Wisconsin cheese makers. The Giordanoâ€™s cheese is aged to perfection and is freshly shredded to ensure that rich, creamy, buttery flavor and the legendary Giordanoâ€™s melt. Hand-Picked, Naturally Sweet Tomatoes exclusively grown in a small farm region in Northern California, Mendocino County, renowned for producing some of the best tomatoes in the world. They are carefully picked at the right time to ensure they produce the best tasting pizza sauce possible. The same attention and care is applied to the selection of all pizza toppings and ingredients. No preservatives, artificial flavorings or colorings are used or added in the making of each Giordanoâ€™s pizza.Giordanosâ€™ pizza is double the weight compared to the other Chicago Deep Dish pizzas, due to extra cheese, for a comparable price. Ounce for ounce â€“ Giordanoâ€™s gives you more of that deliciousness you love! 3-pack (10"" in diameter each)Cheese (2lbs. 13oz)Pepperoni (3lbs. 1oz)Sausage (2lbs. 13oz)Each frozen pizza serves two â€“ three people. Your Giordanoâ€™s pizzas should arrive frozen or partially frozen and within two days from the time of shipping. Unless you plan on baking your pizzas immediately, we suggest you place them directly into your freezer for storage. The pizzas will retain their freshness in the freezer for up to six months. For very best results, do not thaw before baking. Do not consume uncooked pizza. Please read and follow the instructions on the pizza label.",Giordano's,"Italian, Frozen"
Deli,$149.99 ,Tsar Nicoulai Estate White Sturgeon Caviar 4.4 oz,"Tsar Nicoulai produces top-quality, sustainably raised caviar at its aquafarm in Californiaâ€™s Sacramento Valley. Unlike other producers, they do not mix eggs from different fish; each tin contains eggs from a single sturgeon, packed at the time of order, and preserved only with sea salt.   Their Estate caviar features a medium-size egg with lustrous brown-black color, a fresh flavor and smooth, buttery finish.   Served on fresh blini with a dollop of tangy crÃ¨me fraÃ®che and paired with a crisp sparkling wine, itâ€™s a mouthful of luxury in each bite. Rest assured it will compare favorably with the best caviars on the market, not to mention it will be fresher, healthier and fully sustainable.   Tsar Nicoulaiâ€™s farm is rated Green or Best Choice by the Monterey Bay Aquarium Seafood Watch.   â€¢ Produced in California at our Eco Certified sturgeon farm
â€¢ Size: 4.4 oz or 124.7 grams
â€¢ Custom Mother of Pearl Caviar Spoon with Abalone handle
â€¢ Thermal Caviar Tote
â€¢ Ingredients: Farmed White Sturgeon Caviar (Acipenser Transmontanus) & Salt
â€¢ Genuine Malossol Caviar
â€¢ Sturgeon are raised steroid and antibiotic free, and fed non GMO diet
â€¢ Features Eco-Friendly longer lasting shipping packaging
â€¢ Serves 4-7 people
â€¢ Fresh Tag technology ensures product arrives safe to enjoy",Tsar Nicoulai,Seafood
Deli,$199.99 ,"D'Artagnan 13-piece Gourmet Roasting Ham & Luxury Charcuterie Gift Box, 12.5 lbs","This 13-piece gift collection - a Costco membersâ€™ exclusive - features a Dâ€™Artagnan Heritage Ham that will impress as the centerpiece of any holiday celebration. In addition, this gourmet selection includes a wide variety of sustainably raised, naturally cured meats and delicacies that are certain to please the whole family.   Each juicy and flavorful ham is handcrafted from premium, heritage-breed pork, which is humanely raised by our co-op of sustainable family farms. Made in small batches the traditional way, the heritage pork is rubbed with salt and sugar, and then smoked over real applewood chips for a sumptuous ham with distinct marbling and delectable tenderness. With its old-world flavor, this ham will be the star of your recipientsâ€™ next dinner celebration.   While the Dâ€™Artagnan Food Loverâ€™s Luxury Gift Box makes an ideal holiday gift for the discerning foodies on your list, itâ€™s also a great way to experience gourmet quality foods with your family during the holidays.   There are convenient, ready-to-eat delicacies like French-style prosciutto, smoked chicken breast and andouille sausage, perfect for charcuterie boards and entertaining, along with unique ingredients like chicken confit and truffle butter to inspire culinary masterpieces in the kitchen.   From a family breakfast with heritage bacon and smoked chicken sausages, to charcuterie selections and the finest ham dinner, this collection offers delicious options for all holiday festivities.   Ships in a colorful gift box, with recipes and tips included to inspire everyone from the novice cook to expert chef.   Whether gifting this bountiful collection or keeping it for yourself, here is what it contains:   Heritage Pork, Applewood Smoked, Boneless Ham (3lb)
Jambon de Bayonne, French Prosciutto (3.5oz pack)
Naturally Smoked, Sustainably Raised Chicken Breast (8oz)
Heritage Pork, Applewood Smoked Bacon (2 packages - 1.5 lbs total)
Heritage Pork, Hickory Smoked Bacon (2 packages - 1.5 lbs total)
Fully-Cooked, Chicken Leg Confit (2 legs - 10oz total)
Smoked Chicken Apple Sausages Links (9oz)
Andouille Cajun-Style Sausages (12oz)
Black Truffle Butter (3oz)
White Truffle Butter (3oz)
Rendered Duck Fat (7oz)",D'Artagnan,Pork
Deli,$649.99 ,"Covapa Jamon Iberico Bellota Ham Leg with Stand and Knife, 15.4 lbs.Â ","Due to the perishable nature of this item, orders do not ship over the weekend.Orders received after 12:00 EST on Wednesday will not ship until Monday.
Our Jamon Iberico Bellota is produced in The Valle de los Pedroches, located in northern Cordoba in Southern Spain. A valley with the largest extension of centuries old oak trees in the world, and more than 750,000 acres of continuous pasturelands. This truly unique setting provides acorns for our 100% Iberico Breed pigs and an environment where they can live in freedom, with at least 2 Â½ acres per pig.   The vegetarian diet of the Iberico Breed pigs based on acorn and grass from the pasturelands and their free range conditions are the factors that underpin the unmistakable personality and quality of our product.   Our Jamon Iberico Bellota Legs come from our own pedigree 100% Iberico Breed Pigs. This means they are not crossed with any other breeds and our farmers know every animal from the day they are born in our oak groves. Each leg is labeled with the exclusive black tag which will certify that it is a 100% Iberico Pig and acorn fed.   Each leg is aged for a minimum of 3 years in our own aging cellars in an environment that is ideal for the curing process.   The superior Iberico breed, environment, caring, and aging cellars, give our Jamon Iberico its rich and decadent flavor, texture, and incomparable aroma.   100% Iberico Bellota Ham
Aged Over 3 Years
Acorn Fed
Each pig freely roams on a minimum of 2 Â½ acres
Each pig is raised in the Valle De Los Pedroches in Southern Spain. A valley of more than 750,000 acres of centuries old oak trees.
Aenor Certified for animal welfare",Covapa Jamon Iberico Bellota,"Pork, Luxury"
Beverages & Water,$99.99 ,"Pulp & Press Organic Cold-Pressed Wellness Shot Pack, 48-pack","Due to the perishable nature of this item, orders do NOT ship over the weekend. Orders only ship Monday, Tuesday and Wednesday for Wednesday, Thursday, Friday deliveries.   At Pulp & Press, we're dedicated to making healthy living convenient and accessible to everyone. Our cold-pressed juices and wellness shots are made with only the highest quality, 100% organic, plant-based, and raw ingredients, so you can be sure you're getting the most nutritional value out of every sip. Say hello to a healthier you with our wellness shot elixirs!   12 Ginger Wellness Shot Elixir   A zesty blend of lemon, ginger, and turmeric - balanced with apple, that's perfect for supporting your immune system and aiding digestion.   12 Turmeric Wellness Shot Elixir   Loaded with superfoods like turmeric, lemon, and pineapple, plus black pepper to boost nutrient absorption.   12 Wheatgrass Wellness Shot Elixir   Boost your daily greens with this deliciously green elixir, packed with superfoods like pineapple, lemon, ginger, wheatgrass, and spirulina.   12 Elderberry Wellness Shot Elixir   Packed with antiviral ingredients like elderberry and ginger, these bright-colored shots can help support the immune system.   Fun Ways to Incorporate Wellness Shots Into Your Daily Routine:   Enjoy a shot as a refreshing start to your day
Add a wellness shot to your juice or smoothie for an extra boost of nutrients
Pair a shot with your favorite healthy snack for a delicious treat
Take a wellness shot before your workout to energize your body   100% Organic Ingredients:   Ginger: Organic Apple, Organic Lemon, Organic Ginger, Organic Turmeric
Turmeric: Organic Pineapple, Organic Lemon, Organic Turmeric, Organic Black Pepper.
Elderberry: Organic Apple, Organic Lemon, Organic Ginger, Organic Elderberry extract
Wheatgrass: Organic Pineapple, Organic Lemon, Organic Ginger, Organic Wheatgrass, *Spirulina.   For any questions or concerns regarding your online order, please reach out to Pulp and Press directly at support@pulpandpress.com or by phone at (866)-208-9319. A representative will be in touch with you within 24 hours.",Pulp and Press,Health and Wellness
Beverages & Water,$27.99 ,"Prime Hydration+ Sticks Electrolyte Drink Mix, Variety Pack, 30-Count","Hydration+ Sticks Electrolyte Drink Mix
Variety pack: 10-Ice Pop (0.35 oz), 10-Blue Raspberry (0.34 oz), 10-Strawberry Watermelon (0.32 oz)
25 calories per bottle
250 mg BCAA
10% coconut water
The ultimate recovery support
Drink in rapid replenishment and intensely refreshing flavors
30-Count",Prime,"Beverages, Drink Mix"
Beverages & Water,$19.99 ,"Poppi Prebiotic Soda, Variety Pack, 12 fl oz, 15-count","Prebiotics for a healthy gut
5g sugar or less
Immunity sidekick",Poppi,"Soda, Prebiotic"
Beverages & Water,$17.59 ,"Sunny D, Tangy Original, 11.3 fl oz, 30-Count","Kids drinks with 5% juice and 90 calories per bottle
Single serve vitamin C drink with 130% daily value per bottle
11.3 oz bottle   Experience the one-of-a-kind flavor of SUNNYD Tangy Original Shelf Stable Orange Juice Drink. This orange juice drink has the classic tangy flavor only found when sipping SUNNYD citrus punch. This vitamin C drink has a boldly unique flavor that makes SUNNYD a perfect drink for the whole family. With 130% daily value of vitamin C and just 90 calories per bottle, these juice drinks contain 5% fruit juice. Refrigerate SUNNYD after opening. Easily to pack kids drinks in lunches. With a taste unlike anything else, SUNNYD is the orange drink with a one-of-a-kind flavor for a one-of-a-kind you.",SunnyD,"Juice, Beverages"
Bakery & Desserts,$44.99 ,"St Michel Madeleine, Classic French Sponge Cake 100 - count","Moist and buttery sponge cakes with the traditional European madeleine flavor of almond. The Classic Madeleine is baked in the shape of seashell with ridges on one side and a â€œbellyâ€ on the other. Each madeleine is individually-wrapped for portion control and convenience.The Origin of the Madeleine: 18th century King Stanislas 1st, Duke of Lorraine During a festive dinner party in Commercy, France, the kingâ€™s chef abruptly left the kitchen. Seeking a solution to feed his guests dessert, a servant girl in the kitchen offered to make her familyâ€™s traditional pastry. The king enjoyed the little cake so much that he named it after the servant: Madeleine. Baked with non-GMO ingredients and free-range eggs. No preservatives, palm oil, hydrogenated oil or colorings. Baked with love in France.We all have our Madeleine moment:Enjoy everyday for breakfast, snack or dessert (Just as the French do!)Pack in lunches or backpacks for schoolServe during business, book club or PTA meetingsCut in half and fill with jelly or chocolate hazelnut spreadDecorate cakes or cupcakes with classic seashell shapeIncludes:100 countIndividually wrappedFree-range eggsNon-GMO ingredients",St Michel Madeleine,"Desserts, Special Occasion"
Bakery & Desserts,$39.99 ,"David's Cookies Butter Pecan Meltaways 32 oz, 2-pack","These delectable butter pecan meltaways are the perfect snack or dessert for the whole family. The treats are made with pure creamy butter and large pecan chunks and have just the right amount of powdered sugar to satisfy your sweet tooth.Includes:Includes: 2 Tins (32 oz. each)Contains nutsNo preservativesEnjoy with your morning coffee or teaCookies can be stored at room temperature for up to 60 daysEach tin contains approximately 64 cookiesKosher OU-DSome of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils",David's Cookies,"Cookies, Desserts"
Bakery & Desserts,$299.99 ,The Cake Bake Shop 2 Tier Special Occasion Cake (16-22 Servings),"Due to the perishable nature of this item, orders do NOT ship over the weekend. Orders can only be delivered on Wednesday, Thursday and Friday. Minimum delivery time is 5 business days.   Peony flower and plate not included.   Gwendolyn Rogers' The Cake Bake Shop is famous for handcrafting magnificent and delicious cakes and desserts for her award winning restaurants. Each cake arrives beautifully packaged in her bakeryâ€™s signature pink and gold cake box with a pink satin ribbon and is topped with the bakeryâ€™s dusting of edible Pixie GlitterÂ®, adding a sparkling finish to every dessert. Gwendolyn's Two Tier Special Occasion Cake is beautiful, delicious and perfect for any special occasion. Ideal for weddings, anniversaries, baby showers and other special celebrations, this two tier cake has two three-layer cakes. The bottom tier is 8"", the top tier is 6"". Both are made of soft lemon cake filled with Swiss meringue lemon buttercream, with each tier featuring tart lemon curd alternating with our homemade raspberry jam. The entire cake is frosted in lemon Swiss meringue buttercream, decorated with soft pink and cream silk ranunculus flowers, and finished with a dusting of Pearl White Pixie GlitterÂ®.   Features:   Flavor: Lemon Cake
Cake Filling: Raspberry Jam with Lemon Curd
Cake Frosting: Lemon Buttercream
Bottom Tier: 9â€ Diameter, 3 1/2â€ High
Top Tier: 7â€ Diameter, 3 1/2â€ High
Serves 16-22
Each Cake Arrives With Itâ€™s Own Cake Care Card
Allergens: Contains Wheat, Milk, Soy, Egg
Ships Frozen",The Cake Bake Shop,"Desserts, Special Occasion"
Bakery & Desserts,$72.99 ,Ferrara's Bakery 4 lbs. Italian Cookie Pack,"Ferraraâ€™s delicate & buttery cookies are the perfect companion with a cup of coffee. Using secret Old World recipes that are over 100 years old, Ferrara bakes perfect rainbow (tricolori), pignoli (almond-flavored cookies studded with pine nuts), fudge-swirled cookies & more.
A little history about the world famous Ferarra bakery. Since 1892 when our great grandfather, Enrico Scoppa and our great grand-uncle, Antonio Ferrara, opera impresario and showman, opened a cafe called CafÃ© A. Ferrara in Little Italy section in New York City we have prided ourselves on creating superb Italian specialties
We take the extra step of baking two, three and sometimes four times a day, in small batches. Because of the frequency with which we bake, Ferrara acquired our great reputation for quality and freshness. Today, Ferrara is still a family owned business operated by the fifth generation. Ð¢hatâ€™s perhaps the most wonderful thing about Ferrara. Since its beginning in 1892, the spirit, recipes and devotion to quality has changed very little.
Includes:   Rainbow Tricolori Cookies
Fudge-swirled Cookies
Pignoli Cookies
Coconut Cookies
Plan Sandwich Cookies
Half Moon Cookies
Torrincino Cookies   PRODUCED IN A FACILITY WHERE NUTS, MILK, EGGS, SOY & FLOUR ARE PRESENT",Ferrara's Bakery,"Desserts, Cookies"
Bakery & Desserts,$89.99 ,"Tootie Pie 11"" Heavenly Chocolate Pie, 2- pack ","Only for the truly serious chocolate lover, Tootie's Heavenly Chocolate Pie is a gooey, fudgy, decadent slice of heaven! With layers of rich, chocolatey filling, surrounded by our handcrafted, flaky crust, itâ€™s truly a small slice of heaven.
Some of our products may contain nuts. Our facility is NOT a nut-free facility, and as a result it is possible that any product may have come in contact with nut or nut oils.
Important Handling Instructions:
If not being consumed immediately upon arrival, your pie should be placed in the freezer. The pie will arrive at least partially frozen and can be refrozen in its original packaging for up to 6 months or stored in a refrigerator for up to 7 days. The pie is fully baked and can be enjoyed chilled or at room temperature. Thaw the pie in the fridge for about 4 hours (or on your kitchen counter for around 2 hours).",Tootie Pie,"Dessert, Special Occasion"
Refrigerated Goods,$4.99 ,Okay Value Gallon Whole Milk,One gallon of purified whole white milk,Okay Value,Dairy
Refrigerated Goods,$2.99 ,Bob's Dozen Eggs,One dozen pasture raised eggs,Bob's,Eggs
Refrigerated Goods,$5.99 ,Okay Value Black Forrest Ham,Delicious sliced black forrest ham,Okay Value,"Lunch Meat, Sandwich"
Refrigerated Goods,$2.99 ,Kruger Sliced American Cheese,Pasteurized cheese product,Kruger,"Lunch Meat, Sandwich"
Frozen Goods,$8.99 ,Terson Chicken Strips 1lb Bag,One pound of breaded frozen chicken strips,Terson Chicken,"Poultry, Microwavable"
Frozen Goods,$10.88 ,Okay Value Sausage Patties 24 Ct.,24 round pork sausage patties,Okay Value,"Breakfast, Pork"
Frozen Goods,$12.84 ,Kruger Chopped Brocolli,Chopped brocolli in a microwavable steamer bag,Kruger,"Vegetables, Microwavable"
Frozen Goods,$7.49 ,Bob's Vanilla Ice Cream,Sweet vanilla cream ice cream ,Bob's,Desserts
Frozen Goods,$9.89 ,Bonita's Butter Biscuits,12 count frozen buttermilk biscuits for breakfast sandwiches,Bonita's,Breakfast
